,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor
,acc_x,acc_x,acc_y,acc_y,acc_z,acc_z,gyr_x,gyr_x,gyr_y,gyr_y,gyr_z,gyr_z
0,-6.314179038,-6.493950687,-0.389275541,0.416574855,7.15656948,7.128924868,-0.009857543,0.064960814,0.038600405,0.056928183,0.130497977,-0.058159959
1,-6.290303731,-6.474887059,-0.396200153,0.397758773,7.170967678,7.161575351,-0.01100767,0.067007844,-0.080375578,0.056361111,0.06877527,0.063849295
2,-6.290419309,-6.477220068,-0.381799184,0.40242443,7.163794554,7.145269456,-0.01100767,0.065974841,-0.080375578,0.116316736,0.06877527,0.065446149
3,-6.278568524,-6.479501089,-0.384074498,0.390376042,7.180390889,7.133583679,0.05006644,0.189342705,-0.079997815,0.115982985,0.069056738,0.003336963
4,-6.304511738,-6.496396816,-0.405965398,0.395227115,7.16855725,7.159148769,-0.009857543,0.064951325,0.038600405,0.116600272,0.130497977,0.004441521
5,-6.309425349,-6.470086464,-0.391625455,0.409656888,7.16369015,7.147646205,-0.135239426,0.003788639,0.038785355,0.05695329,0.007841782,0.003396947
6,-6.314190674,-6.472388114,-0.403698068,0.40476953,7.180204951,7.133647584,-0.137089609,0.003788639,0.098978704,0.05695329,-0.052866808,0.003396947
7,-6.314322247,-6.472438482,-0.394106662,0.392943902,7.18247816,7.154585714,-0.0760155,0.060819311,0.099356467,0.356422771,-0.052585341,0.010828935
8,-6.302046935,-6.465242989,-0.410730589,0.378693268,7.166267633,7.163900995,-0.076248852,0.184168199,0.159079578,0.475433198,-0.052247302,0.073922711
9,-6.323586833,-6.474732715,-0.403786243,0.37615631,7.158947597,7.149877457,-0.011707727,0.185191714,0.098793754,0.475149662,0.069789386,0.134927338
10,-6.304718183,-6.498489615,-0.391579828,0.392448236,7.173142945,7.100894207,0.050299792,0.185191714,-0.139720926,0.475149662,0.068718699,0.134927338
11,-6.295292215,-6.498759527,-0.377066046,0.414199912,7.168413065,7.135887633,-0.070231596,0.190356732,-0.140946691,0.175371537,0.129202393,0.126943071
12,-6.297524402,-6.506205959,-0.384278565,0.438287067,7.159042055,7.168526589,-0.070231596,0.003779151,-0.140946691,0.116625379,0.129202393,0.065998428
