,s_id,sample,q_x,q_y,q_z,q_w
left_sensor,0,0,-0.0776396235924155,-0.0255600946814702,-0.080004240336764,0.9934375128494192
left_sensor,0,1,-0.0773466260676685,-0.0251666892940275,-0.0802066554795845,0.9934540903346796
left_sensor,0,2,-0.0757315659104224,-0.0242728447511076,-0.0804770172898381,0.993578888976902
left_sensor,0,3,-0.0752755625909921,-0.0236239192279479,-0.0805724064535243,0.9936214507724808
left_sensor,0,4,-0.075333818005245,-0.0223732263384881,-0.0800823969319238,0.9936855963078046
left_sensor,0,5,-0.0747137455369521,-0.0218087525159499,-0.0800352128366462,0.993748760627016
left_sensor,0,6,-0.07350076338486142,-0.021061980032079004,-0.08028607455186511,0.9938350854201231
left_sensor,0,7,-0.0724841251424362,-0.0211787389559119,-0.0808919850404862,0.9938581384557772
left_sensor,0,8,-0.0717107832098189,-0.0200826272454959,-0.0805546791796498,0.9939643833239784
left_sensor,0,9,-0.07106716537945451,-0.019506516419047604,-0.08065356900973451,0.9940140620877125
left_sensor,0,10,-0.07006417865172981,-0.019395764122558203,-0.08096383364720441,0.9940622077340575
left_sensor,0,11,-0.06416911367455382,-0.016904863134098804,-0.08004072485629651,0.9945803299970889
left_sensor,0,12,-0.0634836649063093,-0.0162441685755786,-0.0799362299563908,0.9946437303968244
left_sensor,0,13,-0.062465736301895,-0.0155497597548749,-0.0801406886968958,0.9947028233472625
left_sensor,0,14,-0.06264835432053471,-0.015188190071460904,-0.08032607137508241,0.9946819717079058
left_sensor,0,15,-0.0661997650266491,-0.0161815415273183,-0.0812012248497761,0.9943651793516868
left_sensor,0,16,-0.0660468230706389,-0.015658399472392,-0.0815721043055268,0.9943533695258476
left_sensor,0,17,-0.0661800596673998,-0.0151957367854756,-0.0820884963508529,0.9943091913750078
left_sensor,0,18,-0.0659948825838754,-0.0144535727245153,-0.0823966472882359,0.9943070764225184
left_sensor,0,19,-0.0664513665586314,-0.0130181907386077,-0.0827656318287848,0.994265856187552
left_sensor,0,20,-0.0672577206964976,-0.0111408721155832,-0.0830366590292549,0.9942118452485242
left_sensor,0,21,-0.0672638102447821,-0.0085191628826901,-0.0834623391244663,0.9942017107423446
left_sensor,0,22,-0.0684656935489769,-0.0054131923085492,-0.0836243644506222,0.9941278146325642
left_sensor,0,23,-0.0717589751228387,-0.0021063317946582,-0.0841312141735909,0.9938652583008262
left_sensor,0,24,-0.07377550628862711,0.0024265657093321003,-0.08464369792090001,0.9936733521902409
left_sensor,0,25,-0.0776448646657097,0.0078702825998485,-0.0853804016476817,0.9932872296860172
left_sensor,0,26,-0.08349263145183632,0.013789214259076202,-0.08570557287209601,0.9927201986672937
left_sensor,0,27,-0.0894049433186358,0.0208087304658577,-0.0860042343759695,0.9920569663663444
left_sensor,0,28,-0.0972626920529442,0.0286219148881345,-0.0867208084465187,0.9910601677522576
left_sensor,0,29,-0.1025897614920166,0.037704066255723,-0.0870959972025179,0.9901858570470972
left_sensor,0,30,-0.10983465333056042,0.048676123964556506,-0.08703164006035291,0.9889350218856383
left_sensor,0,31,-0.12006182526876401,0.06101310457009751,-0.08791899040226071,0.9869816666536914
left_sensor,0,32,-0.1352385436914046,0.074461706891205,-0.0892043115374601,0.9839759048422904
left_sensor,0,33,-0.15177151465749433,0.09125317283862411,-0.09126537498647382,0.9799535178333881
left_sensor,0,34,-0.1683501011303318,0.1102345671186856,-0.0940968750078856,0.9750140315786812
left_sensor,0,35,-0.18236322799878443,0.13241501914253304,-0.09780740035101551,0.9693521693460649
left_sensor,0,36,-0.21267017167622,0.1565041396108588,-0.1044435103908258,0.9588375282085664
left_sensor,0,37,-0.2283292595625701,0.1856492936184264,-0.1099402764182266,0.9493751759065916
left_sensor,0,38,-0.2401641473815474,0.2180566571812722,-0.1155117288465115,0.9388447779427193
left_sensor,0,39,-0.23731019081030816,0.25597148602794306,-0.11744804336953722,0.929714165099623
left_sensor,0,40,-0.23106997437426802,0.29693395927746874,-0.11882827178150622,0.9188670919104145
left_sensor,0,41,-0.21693016750504596,0.33973115800351583,-0.11774464208389783,0.9075572940417358
left_sensor,0,42,-0.1985600962171124,0.3852512994068577,-0.1135494437766045,0.8940144564343478
left_sensor,0,43,-0.1691161847339593,0.4354346204202371,-0.1013343626937557,0.878366526193914
left_sensor,0,44,-0.1464472000256867,0.4827279613658859,-0.0945434938040131,0.8582473190750455
left_sensor,0,45,-0.1352194925127089,0.5189449043764811,-0.099729853543805,0.8381323471734172
left_sensor,0,46,-0.1288516195345434,0.5358231139982798,-0.1137682731018031,0.8266484323362292
left_sensor,0,47,-0.126435001904985,0.5351476542147519,-0.1315402259413176,0.8248201909756102
left_sensor,0,48,-0.12003891342325003,0.5233727521672272,-0.14737623237125924,0.8306334135375969
left_sensor,0,49,-0.1094814799148808,0.5064406411214245,-0.1571747144577392,0.8407305107531761
left_sensor,0,50,-0.09353545302717982,0.48889907596535004,-0.16144335114754432,0.8521530712949863
left_sensor,0,51,-0.079142726979736,0.4718991708399699,-0.1651653807611625,0.8624198503772859
left_sensor,0,52,-0.0649661062656983,0.4539416467659534,-0.1656647555281283,0.8730816543393258
left_sensor,0,53,-0.0484881491433564,0.4367326976174663,-0.1630745854230526,0.8833573058584628
left_sensor,0,54,-0.0357398677004175,0.4179309833944865,-0.161206837207073,0.893346915041053
left_sensor,0,55,-0.024523056112975606,0.3974664284315292,-0.15963420008005144,0.9032917469752318
left_sensor,0,56,-0.016105414107069903,0.37410636443098366,-0.15951707750977953,0.9134217786496066
left_sensor,0,57,-0.0075563210069431,0.3493787426322691,-0.1581580216869469,0.92350605649644
left_sensor,0,58,-0.0018199734447883,0.3235666912140794,-0.1564490751514423,0.9331800313539136
left_sensor,0,59,-0.0025906823601795003,0.29538051802410964,-0.15600337200853132,0.9425532270692649
