s_id,foot,start,end,gsd_id
0,left,364,584,1
1,left,584,802,1
2,left,802,1023,1
3,left,1023,1242,1
4,left,1242,1458,1
5,left,1458,1672,1
6,left,1672,1887,1
7,left,1887,2104,1
8,left,2104,2327,1
9,left,2327,2546,1
10,left,2546,2773,1
11,left,2773,2998,1
12,left,2998,3231,1
13,left,3231,3453,1
14,left,3934,4163,1
15,left,4163,4382,1
16,left,4382,4603,1
17,left,4603,4822,1
18,left,4822,5043,1
19,left,5043,5267,1
20,left,5267,5489,1
21,left,5489,5713,1
22,left,5713,5936,1
23,left,5936,6167,1
24,left,6167,6395,1
25,left,6395,6628,1
26,left,6628,6858,1
27,left,6858,7091,1
28,right,475,691,1
29,right,691,913,1
30,right,913,1133,1
31,right,1133,1350,1
32,right,1350,1565,1
33,right,1565,1779,1
34,right,1779,1995,1
35,right,1995,2216,1
36,right,2216,2436,1
37,right,2436,2659,1
38,right,2659,2887,1
39,right,2887,3114,1
40,right,3114,3351,1
41,right,3351,3567,1
42,right,3567,3816,1
43,right,3816,4049,1
44,right,4049,4274,1
45,right,4274,4492,1
46,right,4492,4712,1
47,right,4712,4933,1
48,right,4933,5153,1
49,right,5153,5381,1
50,right,5381,5601,1
51,right,5601,5826,1
52,right,5826,6051,1
53,right,6051,6280,1
54,right,6280,6511,1
55,right,6511,6742,1
56,right,6742,6966,1
57,right,6966,7273,1
