s_id,foot,start,end,ic,tc,min_vel,pre_ic
0,left,494.0,709.0,657.0,586.0,494.0,438.0
1,left,709.0,924.0,877.0,803.0,709.0,657.0
2,left,924.0,1180.0,1096.0,1024.0,924.0,877.0
3,left,1180.0,1397.0,1315.0,1243.0,1180.0,1096.0
4,left,1397.0,1610.0,1530.0,1458.0,1397.0,1315.0
5,left,1610.0,1827.0,1745.0,1673.0,1610.0,1530.0
6,left,1827.0,2003.0,1960.0,1888.0,1827.0,1745.0
7,left,2003.0,2224.0,2179.0,2105.0,2003.0,1960.0
8,left,2224.0,2454.0,2400.0,2329.0,2224.0,2179.0
9,left,2454.0,2677.0,2621.0,2548.0,2454.0,2400.0
10,left,2677.0,2894.0,2847.0,2775.0,2677.0,2621.0
11,left,2894.0,3123.0,3072.0,2998.0,2894.0,2847.0
12,left,3123.0,3359.0,3308.0,3232.0,3123.0,3072.0
13,left,3359.0,3826.0,3774.0,3467.0,3359.0,3308.0
14,left,3826.0,4055.0,4012.0,3934.0,3826.0,3774.0
15,left,4055.0,4280.0,4237.0,4164.0,4055.0,4012.0
16,left,4280.0,4499.0,4456.0,4383.0,4280.0,4237.0
17,left,4499.0,4721.0,4678.0,4604.0,4499.0,4456.0
18,left,4721.0,4940.0,4895.0,4823.0,4721.0,4678.0
19,left,4940.0,5161.0,5116.0,5044.0,4940.0,4895.0
20,left,5161.0,5384.0,5339.0,5267.0,5161.0,5116.0
21,left,5384.0,5609.0,5562.0,5491.0,5384.0,5339.0
22,left,5609.0,5837.0,5788.0,5714.0,5609.0,5562.0
23,left,5837.0,6058.0,6015.0,5937.0,5837.0,5788.0
24,left,6058.0,6291.0,6242.0,6169.0,6058.0,6015.0
25,left,6291.0,6521.0,6472.0,6396.0,6291.0,6242.0
26,left,6521.0,6752.0,6703.0,6629.0,6521.0,6472.0
27,left,6752.0,6988.0,6935.0,6859.0,6752.0,6703.0
28,right,371.0,592.0,549.0,475.0,371.0,311.0
29,right,592.0,811.0,764.0,692.0,592.0,549.0
30,right,811.0,1030.0,985.0,913.0,811.0,764.0
31,right,1030.0,1255.0,1206.0,1135.0,1030.0,985.0
32,right,1255.0,1466.0,1421.0,1350.0,1255.0,1206.0
33,right,1466.0,1679.0,1636.0,1565.0,1466.0,1421.0
34,right,1679.0,1896.0,1849.0,1780.0,1679.0,1636.0
35,right,1896.0,2111.0,2068.0,1995.0,1896.0,1849.0
36,right,2111.0,2335.0,2288.0,2216.0,2111.0,2068.0
37,right,2335.0,2558.0,2511.0,2437.0,2335.0,2288.0
38,right,2558.0,2783.0,2732.0,2660.0,2558.0,2511.0
39,right,2783.0,3009.0,2959.0,2888.0,2783.0,2732.0
40,right,3009.0,3238.0,3191.0,3115.0,3009.0,2959.0
41,right,3238.0,3475.0,3424.0,3353.0,3238.0,3191.0
42,right,3475.0,3750.0,3656.0,3576.0,3475.0,3424.0
43,right,3750.0,3953.0,3895.0,3817.0,3750.0,3656.0
44,right,3953.0,4172.0,4123.0,4049.0,3953.0,3895.0
45,right,4172.0,4430.0,4346.0,4274.0,4172.0,4123.0
46,right,4430.0,4610.0,4565.0,4491.0,4430.0,4346.0
47,right,4610.0,4829.0,4784.0,4712.0,4610.0,4565.0
48,right,4829.0,5050.0,5005.0,4934.0,4829.0,4784.0
49,right,5050.0,5274.0,5226.0,5153.0,5050.0,5005.0
50,right,5274.0,5495.0,5452.0,5382.0,5274.0,5226.0
51,right,5495.0,5767.0,5673.0,5601.0,5495.0,5452.0
52,right,5767.0,5951.0,5898.0,5827.0,5767.0,5673.0
53,right,5951.0,6177.0,6126.0,6052.0,5951.0,5898.0
54,right,6177.0,6410.0,6355.0,6281.0,6177.0,6126.0
55,right,6410.0,6631.0,6584.0,6513.0,6410.0,6355.0
56,right,6631.0,6867.0,6816.0,6742.0,6631.0,6584.0
