gyr_pa,gyr_si,gyr_ml
-0.23287,-0.1169,-0.97019
-0.26713,-0.13054,-0.92769
-0.29586,-0.14109,-0.88209
-0.29175,-0.14191,-0.82433
-0.28727,-0.14548,-0.76738
-0.28907,-0.15237,-0.70327
-0.2898,-0.15411,-0.59754
-0.25746,-0.14994,-0.46316
-0.19898,-0.13823,-0.32808
-0.13593,-0.12607,-0.1927
-0.097429,-0.11759,-0.087078
-0.076164,-0.10578,-0.003102
-0.055485,-0.092597,0.063381
-0.039562,-0.083728,0.11808
-0.029349,-0.080652,0.17718
-0.011869,-0.083114,0.23931
-0.011633,-0.084578,0.28626
-0.028568,-0.086007,0.32125
-0.025633,-0.085325,0.35715
-0.0057112,-0.081892,0.3889
0.022825,-0.077763,0.41424
0.064221,-0.070774,0.44057
0.084406,-0.062882,0.47039
0.099475,-0.056451,0.49846
0.12573,-0.050168,0.5255
0.14366,-0.043493,0.55009
0.15394,-0.037496,0.57238
0.16795,-0.030919,0.59222
0.17924,-0.023746,0.6103
0.18858,-0.017341,0.62678
0.19223,-0.012745,0.64068
0.19738,-0.0091343,0.64976
0.20986,-0.0057819,0.65823
0.21959,-0.0037018,0.66557
0.22629,-0.0025354,0.67059
0.23628,-0.00083633,0.67316
0.24711,0.00072472,0.67501
0.25675,0.0016959,0.67761
0.26886,0.0021822,0.67882
0.28018,0.0014219,0.67837
0.28881,0.00022011,0.67694
0.29964,-0.00097617,0.6746
0.31065,-0.0013675,0.67047
0.31965,-0.00060989,0.66612
0.3272,0.00065094,0.66212
0.33423,0.0010912,0.65862
0.34168,0.0027254,0.65517
0.34934,0.0056404,0.65092
0.3543,0.0095908,0.6454
0.35922,0.015274,0.63896
0.36459,0.021425,0.63284
0.37081,0.028054,0.62689
0.37626,0.037337,0.62068
0.38248,0.047467,0.61361
0.38731,0.057829,0.60529
0.39019,0.067033,0.5957
0.38901,0.076457,0.58457
0.38374,0.086728,0.57144
0.38113,0.09621,0.5567
0.37636,0.10576,0.54068
0.36236,0.11355,0.52096
0.34353,0.11759,0.49862
0.32275,0.11871,0.47638
0.29814,0.11817,0.45272
0.27588,0.11733,0.42758
0.25,0.11465,0.3971
0.22623,0.11151,0.36351
0.20318,0.10431,0.32335
0.17763,0.093268,0.27596
0.14709,0.081682,0.23016
0.11683,0.071219,0.18281
0.094382,0.061126,0.1292
0.066448,0.051825,0.075186
0.022041,0.046563,0.014561
-0.010576,0.042787,-0.045206
-0.030511,0.039209,-0.10129
-0.05834,0.035948,-0.16559
-0.085134,0.035571,-0.22614
-0.13109,0.037481,-0.2896
-0.18929,0.04418,-0.34809
-0.26979,0.049674,-0.40239
-0.33936,0.050885,-0.44972
-0.36505,0.05224,-0.48042
-0.36951,0.049562,-0.50164
-0.38689,0.042694,-0.51435
-0.38314,0.037963,-0.51495
-0.35083,0.0346,-0.50587
-0.30535,0.028077,-0.48683
-0.2471,0.023446,-0.45893
-0.19591,0.017499,-0.42626
-0.16147,0.011516,-0.39042
-0.13363,0.0069649,-0.35295
-0.10627,0.0037472,-0.31371
-0.085348,0.0025022,-0.27307
-0.073048,0.0024899,-0.23583
-0.075352,0.0014704,-0.20112
-0.075137,0.00060562,-0.16861
-0.06051,-0.0012121,-0.13805
-0.042104,-0.0031811,-0.11349
-0.036442,-0.0034751,-0.094319
-0.031732,-0.0038335,-0.078994
-0.026047,-0.0039363,-0.066522
-0.026196,-0.003328,-0.057612
-0.026797,-0.0032732,-0.050382
-0.023853,-0.0037374,-0.042927
-0.017856,-0.0035974,-0.036971
-0.012831,-0.0042484,-0.029896
-0.010423,-0.0039634,-0.024301
-0.0075118,-0.0033847,-0.021104
-0.0063718,-0.0036727,-0.018446
-0.0053534,-0.0040755,-0.016027
-0.0051726,-0.0046191,-0.01351
-0.0063921,-0.004994,-0.01148
-0.0069495,-0.0049614,-0.010211
-0.0063263,-0.0049524,-0.0096224
-0.0053767,-0.0050694,-0.0091032
-0.0046277,-0.0051068,-0.0087932
-0.0040293,-0.0050173,-0.0086302
-0.0031074,-0.0049788,-0.0080751
-0.0021653,-0.0050073,-0.0069614
-0.0026971,-0.0050478,-0.0062982
-0.0024942,-0.0051608,-0.0063416
-0.0022524,-0.005277,-0.0064527
-0.0020297,-0.0053595,-0.0066369
-0.0020263,-0.0055,-0.0069696
-0.0022643,-0.0056794,-0.0072724
-0.0024493,-0.0058464,-0.0075683
-0.0026271,-0.0059362,-0.0079425
-0.0027396,-0.0059762,-0.0083671
-0.0027211,-0.0061312,-0.0089199
-0.0028251,-0.006318,-0.009435
-0.0029714,-0.0064917,-0.010045
-0.0032785,-0.0067217,-0.01082
-0.0034639,-0.0070043,-0.011592
-0.003519,-0.0072484,-0.012363
-0.0036658,-0.0073886,-0.013033
-0.0039156,-0.0074578,-0.013714
-0.003986,-0.007561,-0.014603
-0.0040701,-0.0077712,-0.015719
-0.0044202,-0.0080358,-0.01682
-0.0045636,-0.0084462,-0.018187
-0.0046836,-0.0089208,-0.019475
-0.0049295,-0.0093287,-0.020536
-0.0050478,-0.0096795,-0.02156
-0.0049332,-0.010041,-0.02265
-0.0048853,-0.01053,-0.024101
-0.0051733,-0.01113,-0.025672
-0.0055208,-0.011854,-0.027663
-0.0054034,-0.012549,-0.029905
-0.0051567,-0.013368,-0.032425
-0.004857,-0.014279,-0.035051
-0.0047029,-0.015216,-0.038046
-0.0053816,-0.016171,-0.041504
-0.0062308,-0.017,-0.045074
-0.0067387,-0.017721,-0.048975
-0.007426,-0.018599,-0.053614
-0.00836,-0.019271,-0.059142
-0.009288,-0.019415,-0.064892
-0.010115,-0.019519,-0.07098
