gyr_pa,gyr_si,gyr_ml
-116.435,-58.45,-485.09499999999997
-133.56500000000003,-65.27000000000001,-463.845
-147.93,-70.54500000000002,-441.04499999999996
-145.875,-70.95499999999998,-412.16499999999996
-143.635,-72.74,-383.69000000000005
-144.535,-76.185,-351.635
-144.9,-77.05499999999999,-298.77
-128.73,-74.97000000000001,-231.58
-99.49,-69.115,-164.04000000000002
-67.965,-63.03500000000001,-96.35000000000001
-48.7145,-58.79500000000001,-43.539
-38.082,-52.89,-1.5510000000000002
-27.7425,-46.2985,31.690499999999997
-19.781,-41.864,59.03999999999999
-14.6745,-40.326,88.59
-5.9345,-41.556999999999995,119.655
-5.8165,-42.289,143.13
-14.284,-43.0035,160.625
-12.8165,-42.6625,178.57500000000002
-2.8556,-40.946,194.45000000000002
11.412500000000001,-38.8815,207.11999999999998
32.1105,-35.387,220.28499999999997
42.202999999999996,-31.441000000000003,235.195
49.7375,-28.2255,249.23000000000002
62.865,-25.084,262.75
71.82999999999998,-21.7465,275.04499999999996
76.97000000000001,-18.747999999999998,286.19
83.975,-15.459499999999998,296.10999999999996
89.62,-11.873,305.15
94.28999999999999,-8.670499999999999,313.39
96.115,-6.3725000000000005,320.34000000000003
98.69,-4.56715,324.88
104.92999999999999,-2.8909499999999997,329.115
109.795,-1.8509,332.785
113.14500000000001,-1.2676999999999998,335.29499999999996
118.14000000000001,-0.418165,336.58000000000004
123.55499999999999,0.36236,337.505
128.375,0.84795,338.805
134.43,1.0911,339.40999999999997
140.09000000000003,0.71095,339.185
144.405,0.110055,338.46999999999997
149.82000000000002,-0.48808500000000005,337.3
155.325,-0.68375,335.235
159.825,-0.30494499999999997,333.05999999999995
163.6,0.32547000000000004,331.05999999999995
167.115,0.5456000000000001,329.31
170.84000000000003,1.3627,327.58500000000004
174.67,2.8202,325.46
177.15,4.795399999999999,322.7
179.60999999999999,7.6370000000000005,319.48
182.29500000000002,10.7125,316.41999999999996
185.40499999999997,14.027000000000001,313.445
188.13,18.6685,310.34000000000003
191.24,23.7335,306.805
193.655,28.9145,302.645
195.09500000000003,33.51650000000001,297.85
194.505,38.228500000000004,292.285
191.87,43.364,285.71999999999997
190.56500000000003,48.105000000000004,278.34999999999997
188.17999999999998,52.879999999999995,270.34000000000003
181.18,56.775,260.48
171.76500000000001,58.79500000000001,249.31
161.375,59.355,238.19000000000003
149.07000000000002,59.08500000000001,226.35999999999999
137.94,58.66499999999999,213.79000000000002
125.0,57.325,198.55
